Player,Position,Team(s),Date_of_Birth,Height,Weight,College,Years_Played
Zach Cunningham,LB,DET,12/2/1994,75,230,Vanderbilt,9
Hogan Hatten,LS,DET,8/6/2000,74,239,Idaho,2
Chris Hubbard,OL,DET,4/23/1991,76,295,UAB,12
Christian Mahogany,OL,DET,10/11/2000,75,327,Boston College,2
Colby Sorsdal,OL,DET,3/1/2000,78,315,William & Mary,3
Dan Skipper,OL,DET,9/20/1994,81,334,Arkansas,6
Frank Ragnow,OL,DET,5/17/1996,77,311,Arkansas,8
Giovanni Manu,OL,DET,1/26/2001,79,350,University of British Columbia,2
Graham Glasgow,OL,DET,8/19/1992,78,315,Michigan,10
Gunner Britton,OL,DET,,,,,
Jamarco Jones,OL,DET,6/4/1996,76,315,Ohio State,6
Justin Herron,OL,DET,11/27/1995,77,305,Wake Forest,6
Kayode Awosika,OL,DET,10/27/1998,75,322,Buffalo,4
Mason Miller,OL,DET,11/26/2001,79,310,North Dakota State,0
Michael Niese,OL,DET,1/13/1998,77,300,Temple,2
Miles Frazier,OL,DET,9/12/2001,78,325,LSU; Florida International,0
Netane Muti,OL,DET,3/27/1999,75,325,Fresno State,5
Penei Sewell,OL,DET,10/9/2000,77,335,Oregon,5
Tate Ratledge,OL,DET,4/26/2001,78,315,Georgia,0
Taylor Decker,OL,DET,8/23/1993,79,324,Ohio State,10
Trystan Colon,OL,DET,3/23/1998,75,317,Missouri,6
Zack Johnson,OL,DET,1/19/1997,78,301,North Dakota State,1
Jack Fox,P,DET,9/1/1996,74,218,Rice,6
C.J. Beathard,QB,DET,11/16/1993,74,215,Iowa,9
Jared Goff,QB,DET,10/14/1994,76,217,California,10
Kyle Allen,QB,DET,3/8/1996,75,210,Houston; Texas A&M,7
David Montgomery,RB,DET,6/7/1997,71,230,Iowa State,7
Deon Jackson,RB,DET,2/18/1999,72,218,Duke,3
Jabari Small,RB,DET,1/31/2002,69,198,Tennessee,1
Jacob Saylors,RB,DET,3/8/2000,71,195,East Tennessee State,1
Jahmyr Gibbs,RB,DET,3/20/2002,69,202,Alabama; Georgia Tech,3
Kye Robichaux,RB,DET,10/6/2002,72,213,Boston College; Western Kentucky,0
Sione Vaki,RB,DET,7/30/2001,71,216,Utah,2
Anthony Firkser,TE,DET,2/19/1995,74,246,Harvard,7
Brock Wright,TE,DET,11/27/1998,77,254,Notre Dame,5
Gunnar Oakes,TE,DET,,,,,
Kenny Yeboah,TE,DET,10/30/1998,76,250,Mississippi,5
Sam LaPorta,TE,DET,1/12/2001,75,245,Iowa,3
Shane Zylstra,TE,DET,11/16/1996,76,244,Minnesota State,4
Steven Stilianos,TE,DET,,,,,
Zach Horton,TE,DET,12/2/2002,76,251,Indiana; James Madison,0
Amon-Ra St. Brown,WR,DET,10/24/1999,72,202,USC,5
Dominic Lovett,WR,DET,11/8/2002,70,185,Georgia; Missouri,0
Isaac TeSlaa,WR,DET,2/20/2002,76,214,Arkansas; Hillsdale,0
Jackson Meeks,WR,DET,3/24/2003,74,218,Syracuse,0
Jameson Williams,WR,DET,3/26/2001,73,180,Alabama; Ohio State,4
Kalif Raymond,WR,DET,8/8/1994,68,180,Holy Cross,9
Malik Taylor,WR,DET,12/21/1995,73,220,Ferris State,3
Tom Kennedy,WR,DET,7/29/1996,70,195,Bryant,3
Jakobie Keeney-James,WR,"DET, GB",9/26/2000,73,195,UMass Amherst; Eastern Washington,0
Arthur Maulet,DB,"DET, HOU",7/13/1993,69,190,Memphis; Copiah-Lincoln Junior College,9
Jalen Mills,DB,"DET, HOU",4/6/1994,72,200,LSU,10
Keenan Garber,DB,"DET, IND, MIN",7/22/2000,72,188,Kansas State,0
Andre Carter II,LB,"DET, MIA",3/28/2000,78,256,Army,2
Andrew Armstrong,WR,"DET, MIA",10/31/2000,76,202,Arkansas; East Texas A&M,0
Hayden Rucci,TE,"DET, MIA, SF",1/27/2001,77,247,Wisconsin,1
Giovanni Ricci,TE,"DET, MIN",10/16/1996,75,240,Western Michigan,4
Craig Reynolds,RB,"DET, NE",6/15/1996,71,216,Kutztown,6
Ronnie Bell,WR,"DET, NO",1/28/2000,72,195,Michigan,3
Erick Hallett,DB,"DET, TEN",4/24/2000,71,200,Pittsburgh,1
Bo Melton,DB,GB,5/18/1999,71,189,Rutgers,2
Carrington Valentine,DB,GB,9/9/2001,72,189,Kentucky,3
Evan Williams,DB,GB,7/28/2001,71,200,Oregon; Fresno State,2
Javon Bullard,DB,GB,9/5/2002,70,198,Georgia,2
Jaylin Simpson,DB,GB,5/17/2000,72,179,Auburn,1
Johnathan Baldwin,DB,GB,2/8/2003,72,190,UNLV,0
Kamal Hadden,DB,GB,1/17/2001,73,192,Tennessee; Independence Comm. College; Auburn,1
Keisean Nixon,DB,GB,6/22/1997,70,200,South Carolina,7
Kitan Oladapo,DB,GB,10/10/2000,74,216,Oregon State,2
Nate Hobbs,DB,GB,6/24/1999,73,195,Illinois,5
Omar Brown,DB,GB,10/12/2000,73,200,Nebraska,0
Xavier McKinney,DB,GB,8/9/1999,72,201,Alabama,6
Zayne Anderson,DB,GB,1/3/1997,74,206,BYU,3
Arron Mosby,DL,GB,4/13/1999,75,250,Fresno State,3
Barryn Sorrell,DL,GB,12/22/2002,75,256,Texas,0
Brenton Cox Jr.,DL,GB,1/30/2000,76,250,Florida; Georgia,3
Colby Wooden,DL,GB,12/21/2000,76,273,Auburn,3
Devonte O'Malley,DL,GB,,,,,
Devonte Wyatt,DL,GB,3/31/1998,75,304,Georgia,4
James Ester,DL,GB,8/30/2001,75,289,Northern Illinois,1
Karl Brooks,DL,GB,5/8/2000,75,296,Bowling Green,3
Keith Randolph Jr.,DL,GB,,,,,
Kingsley Enagbare,DL,GB,1/18/2000,76,258,South Carolina,4
Lukas Van Ness,DL,GB,7/6/2001,77,272,Iowa,3
Nazir Stackhouse,DL,GB,4/18/2002,76,327,Georgia,0
Rashan Gary,DL,GB,12/3/1997,77,277,Michigan,7
Warren Brinson,DL,GB,2/4/2002,77,315,Georgia,0
Brandon McManus,K,GB,7/25/1991,75,201,Temple,12
Lucas Havrisik,K,GB,9/29/1999,74,188,Arizona,2
Mark McNamee,K,GB,11/10/1999,76,208,,0
Collin Oliver,LB,GB,9/23/2002,74,240,Oklahoma State,0
Deslin Alexandre,LB,GB,6/11/1998,75,264,Pittsburgh,1
Edgerrin Cooper,LB,GB,11/17/2001,74,229,Texas A&M,2
Isaiah McDuffie,LB,GB,7/21/1999,73,227,Boston College,5
Jamon Johnson,LB,GB,11/28/2001,73,236,Kentucky; Georgia,0
Kristian Welch,LB,GB,5/24/1998,75,240,Iowa,6
Micah Parsons,LB,GB,5/26/1999,75,250,Penn State,5
Nick Niemann,LB,GB,12/2/1997,75,234,Iowa,5
Quay Walker,LB,GB,5/8/2000,76,240,Georgia,4
Ty'Ron Hopper,LB,GB,4/26/2001,74,228,Missouri; Florida,2
Matthew Orzech,LS,GB,4/12/1995,75,245,Azusa Pacific,6
Aaron Banks,OL,GB,9/3/1997,77,325,Notre Dame,5
Anthony Belton,OL,GB,2/23/2001,78,336,N.C. State; Georgia Military,0
Dalton Cooper,OL,GB,3/15/2001,79,315,Oklahoma State; Texas State-San Marcos,0
Darian Kinnard,OL,GB,12/29/1999,77,322,Kentucky,3
Donovan Jennings,OL,GB,11/24/1999,76,323,University of South Florida,1
Elgton Jenkins,OL,GB,12/26/1995,77,311,Mississippi State,7
J.J. Lippe,OL,GB,,,,,
Jacob Monk,OL,GB,6/4/2001,75,308,Duke,2
John Williams,OL,GB,1/17/2002,76,322,Cincinnati,0
Jordan Morgan,OL,GB,8/4/2001,77,311,Arizona,2
Lecitus Smith,OL,GB,7/13/1998,75,314,Virginia Tech,3
Rasheed Walker,OL,GB,2/13/2000,78,325,Penn State,4
Sean Rhyan,OL,GB,9/15/2000,77,320,UCLA,4
Travis Glover,OL,GB,8/17/2000,78,317,Georgia State,2
Zach Tom,OL,GB,3/26/1999,76,304,Wake Forest,4
Daniel Whelan,P,GB,2/10/1999,77,216,UC Davis,3
Clayton Tune,QB,GB,3/23/1999,75,220,Houston,3
Jordan Love,QB,GB,11/2/1998,76,219,Utah State,6
Malik Willis,QB,GB,5/25/1999,73,225,Liberty; Auburn,4
Taylor Elgersma,QB,GB,,,,,
Chris Brooks,RB,GB,1/11/2000,73,219,BYU; California,3
Emanuel Wilson,RB,GB,5/8/1999,71,226,Fort Valley State College,3
Josh Jacobs,RB,GB,2/11/1998,70,223,Alabama,7
MarShawn Lloyd,RB,GB,1/5/2001,69,220,USC; South Carolina,2
Tyrion Davis-Price,RB,GB,10/23/2000,73,219,LSU,3
John FitzPatrick,TE,GB,3/9/2000,79,262,Georgia,4
Johnny Lumpkin,TE,GB,9/3/1997,78,268,Louisiana-Lafayette; Hutchinson CC,1
Josh Whyle,TE,GB,9/8/1999,79,248,Cincinnati,3
Luke Musgrave,TE,GB,9/2/2000,78,253,Oregon State,3
Tucker Kraft,TE,GB,11/3/2000,77,259,South Dakota State,3
Christian Watson,WR,GB,5/12/1999,76,208,North Dakota State,4
Dontayvion Wicks,WR,GB,6/16/2001,73,206,Virginia,3
Isaiah Neyor,WR,GB,6/7/2001,76,218,Nebraska; Texas; Wyoming,0
Jayden Reed,WR,GB,4/28/2000,71,187,Michigan State; Western Michigan,3
Julian Hicks,WR,GB,9/29/1999,74,201,Albany; Akron; Central Michigan,1
Kawaan Baker,WR,GB,8/24/1998,73,215,South Alabama,1
Matthew Golden,WR,GB,8/1/2003,71,191,Texas; Houston,0
Mike Woods,WR,GB,3/19/2000,73,204,Oklahoma; Arkansas,3
Romeo Doubs,WR,GB,4/13/2000,74,204,Nevada,4
Savion Williams,WR,GB,11/22/2001,76,222,TCU,0
Will Sheppard,WR,GB,2/11/2002,75,196,Colorado; Vanderbilt,0
McCallan Castles,TE,"GB, LA",12/3/1999,77,252,Tennessee; UC Davis; California,1
Kadeem Telfort,OL,"GB, MIA",11/10/1998,79,322,UAB,2
Ben Sims,TE,"GB, MIN",5/16/2000,77,250,Baylor,3
Tyron Herring,DB,"GB, NE",4/14/2001,74,195,Delaware; Dartmouth,0
Jordon Riley,DL,"GB, NYG",5/19/1998,77,315,Oregon; Nebraska; Garden City CC; North Carolina,3
Anthony Campbell,DL,"GB, SEA",9/9/2000,79,300,Miami; Louisiana-Monroe; Independence Comm. College,0
Quinton Bohanna,DL,"GB, SEA",3/16/1999,76,355,Kentucky,4
Damien Martinez,RB,"GB, SEA",1/31/2004,72,237,Miami; Oregon State,0
Micah Robinson,DB,"GB, TEN",2/5/2002,71,183,Tulane,0
Brant Banks,OL,"GB, TEN",5/1/2000,79,306,Rice,0
Drake Dabney,TE,"GB, TEN",5/14/2002,77,246,TCU; Baylor,0
Alijah Huzzie,DB,HOU,1/16/2001,70,195,North Carolina; East Tennessee State,0
Calen Bullock,DB,HOU,4/30/2003,75,190,USC,2
Damon Arnette,DB,HOU,9/2/1996,72,195,Ohio State,3
Derek Stingley Jr.,DB,HOU,6/20/2001,73,195,LSU,4
Jalen Pitre,DB,HOU,6/3/1999,72,200,Baylor,4
Jaylen Reed,DB,HOU,1/29/2003,72,212,Penn State,0
Jaylin Smith,DB,HOU,11/5/2003,71,190,USC,0
Jimmie Ward,DB,HOU,7/18/1991,71,193,Northern Illinois,12
Kamari Lassiter,DB,HOU,1/23/2003,72,180,Georgia,2
M.J. Stewart,DB,HOU,9/16/1995,71,205,North Carolina,8
Myles Bryant,DB,HOU,1/2/1998,69,192,Washington,6
Ronald Darby,DB,HOU,1/2/1994,71,193,Florida State,10
Tremon Smith,DB,HOU,7/20/1996,72,190,Central Arkansas,8
Casey Toohill,DL,HOU,8/21/1996,77,254,Stanford,5
Danielle Hunter,DL,HOU,10/29/1994,77,263,LSU,11
Denico Autry,DL,HOU,7/15/1990,77,285,Mississippi State; East Mississippi JC,12
Derek Barnett,DL,HOU,6/25/1996,75,259,Tennessee,9
Dylan Horton,DL,HOU,8/21/2000,76,275,TCU,3
Foley Fatukasi,DL,HOU,3/4/1995,76,318,Connecticut,7
Haggai Ndubuisi,DL,HOU,10/15/2000,79,298,,1
Junior Tafuna,DL,HOU,2/27/2001,75,305,Utah,0
Kurt Hinish,DL,HOU,4/27/1999,73,296,Notre Dame,4
Kyonte Hamilton,DL,HOU,11/7/2002,76,304,Rutgers,0
Mario Edwards,DL,HOU,1/25/1994,75,280,Florida State,10
Marlon Davidson,DL,HOU,5/11/1998,75,303,Auburn,5
Sheldon Rankins,DL,HOU,4/2/1994,74,305,Louisville,10
Solomon Byrd,DL,HOU,12/1/1999,75,250,USC; Wyoming,1
Tim Settle,DL,HOU,7/11/1997,75,313,Virginia Tech,8
Tommy Togiai,DL,HOU,9/19/1999,74,296,Ohio State,4
Will Anderson Jr.,DL,HOU,9/2/2001,76,243,Alabama,3
Ka'imi Fairbairn,K,HOU,1/29/1994,72,183,UCLA,10
Azeez Al-Shaair,LB,HOU,8/4/1997,74,228,Florida Atlantic,7
Christian Harris,LB,HOU,1/16/2001,74,232,Alabama,4
E.J. Speed,LB,HOU,6/1/1995,76,227,Tarleton State,7
Henry To'oTo'o,LB,HOU,1/5/2001,74,228,Alabama; Tennessee,3
Jake Hansen,LB,HOU,6/19/1998,73,230,Illinois,4
Jamal Hill,LB,HOU,4/1/2001,72,226,Oregon,2
Austin Brinkman,LS,HOU,6/20/2002,76,241,West Virginia,0
Blake Ferguson,LS,HOU,4/21/1997,75,230,LSU,5
Aireontae Ersery,OL,HOU,2/19/2002,78,330,Minnesota,0
Blake Fisher,OL,HOU,3/25/2003,78,310,Notre Dame,2
Conor McDermott,OL,HOU,10/19/1992,80,305,UCLA,8
Ed Ingram,OL,HOU,2/11/1999,75,307,LSU,4
Eli Cox,OL,HOU,10/19/2000,76,309,Kentucky,0
Jake Andrews,OL,HOU,11/11/1999,75,308,Troy,3
Jarrett Patterson,OL,HOU,9/1/1999,76,310,Notre Dame,3
Jaylon Thomas,OL,HOU,3/31/2000,77,311,SMU,2
Juice Scruggs,OL,HOU,1/19/2000,75,310,Penn State,3
Sidy Sow,OL,HOU,6/10/1998,77,318,Eastern Michigan,3
Trent Brown,OL,HOU,4/13/1993,80,380,Florida; Georgia Military,11
Tytus Howard,OL,HOU,5/23/1996,77,322,Alabama State,7
Tommy Townsend,P,HOU,11/12/1996,73,191,Florida,6
C.J. Stroud,QB,HOU,10/3/2001,75,218,Ohio State,3
Davis Mills,QB,HOU,10/21/1998,76,225,Stanford,5
Graham Mertz,QB,HOU,12/6/2000,74,216,Florida; Wisconsin,0
British Brooks,RB,HOU,11/18/1999,71,225,North Carolina,2
Dare Ogunbowale,RB,HOU,5/4/1994,71,205,Wisconsin,7
Jakob Johnson,RB,HOU,12/15/1994,75,255,Tennessee,6
Jawhar Jordan,RB,HOU,8/18/1999,70,186,Louisville; Syracuse,1
Joe Mixon,RB,HOU,7/24/1996,73,220,Oklahoma,9
Nick Chubb,RB,HOU,12/27/1995,71,227,Georgia,8
Woody Marks,RB,HOU,12/29/2000,70,208,USC; Mississippi State,0
Brevin Jordan,TE,HOU,7/16/2000,75,245,Miami,5
Cade Stover,TE,HOU,6/12/2000,76,251,Ohio State,2
Dalton Keene,TE,HOU,4/14/1999,76,251,Virginia Tech,3
Dalton Schultz,TE,HOU,7/11/1996,77,242,Stanford,8
Harrison Bryant,TE,HOU,4/23/1998,77,230,Florida Atlantic,6
Irv Smith,TE,HOU,8/9/1998,74,240,Alabama,6
Luke Lachey,TE,HOU,6/29/2001,78,247,Iowa,0
Braxton Berrios,WR,HOU,10/6/1995,69,185,Miami,8
Christian Kirk,WR,HOU,11/18/1996,71,200,Texas A&M,8
Daniel Jackson,WR,HOU,,,,,
Jared Wayne,WR,HOU,10/7/2000,75,210,Pittsburgh,1
Jayden Higgins,WR,HOU,12/15/2002,76,215,Iowa State; Eastern Kentucky,0
Jaylin Noel,WR,HOU,9/4/2002,71,200,Iowa State,0
Josh Kelly,WR,HOU,7/1/2001,73,195,Texas Tech; Washington State; Fresno State,0
Justin Watson,WR,HOU,4/4/1996,74,215,Penn,8
Juwann Winfree,WR,HOU,9/4/1996,73,210,Colorado,4
Nico Collins,WR,HOU,3/19/1999,76,222,Michigan,5
Quintez Cephus,WR,HOU,4/1/1998,73,208,Wisconsin,4
Silas Bolden,WR,HOU,11/9/2001,68,160,Texas; Oregon State,0
Tank Dell,WR,HOU,10/29/1999,70,165,Houston; Independence Comm. College; Alabama A&M,3
Xavier Hutchinson,WR,HOU,6/1/2000,75,210,Iowa State,3
Zach Thomas,OL,"HOU, IND",5/26/1998,77,305,San Diego State,4
Ajani Carter,DB,"HOU, KC",8/17/2000,74,200,Houston; Utah State,0
Dameon Pierce,RB,"HOU, KC",2/19/2000,70,215,Florida,4
Naquan Jones,DL,"HOU, LAC",2/5/1998,75,313,Michigan State,5
Brandon Hill,DB,"HOU, LV",9/6/2000,71,195,Pittsburgh,2
Leki Fotu,DL,"HOU, LV",8/23/1998,77,317,Utah,6
Jackson Woodard,LB,"HOU, MIA",7/2/2002,74,230,UNLV; Arkansas,0
K.C. Ossai,LB,"HOU, MIA",11/5/2002,74,241,Louisiana,0
K'Von Wallace,DB,"HOU, MIN",7/25/1997,71,205,Clemson,6
Darrell Taylor,DL,"HOU, NE",3/24/1997,76,255,Tennessee,5
Reid Holskey,OL,"HOU, NYG",1/3/2002,78,306,Miami (Ohio),0
Cornell Powell,WR,"HOU, PIT",10/30/1997,72,204,Clemson,1
Kaevon Merriweather,DB,"HOU, TB",12/20/1999,72,212,Iowa,3
BJ Mayes,DB,IND,,,,,
Ben Nikkel,DB,IND,5/12/2001,73,210,Iowa State; McPherson College,1
Camryn Bynum,DB,IND,7/19/1998,72,200,California,5
Charvarius Ward,DB,IND,5/16/1996,73,196,Middle Tennessee State; Hinds CC,8
Chris Lammons,DB,IND,1/31/1996,70,190,South Carolina,5
Daniel Scott,DB,IND,10/26/1998,73,208,California,3
Duke Shelley,DB,IND,10/8/1996,69,176,Kansas State,6
George Odum,DB,IND,11/3/1993,73,202,Central Arkansas,8
Hunter Wohler,DB,IND,1/12/2003,74,213,Wisconsin,0
Jaylon Jones,DB,IND,4/3/2002,74,203,Texas A&M,3
Johnathan Edwards,DB,IND,11/16/2001,73,200,Tulane,0
Justin Walley,DB,IND,9/22/2002,71,190,Minnesota,0
Kenny Moore II,DB,IND,8/23/1995,69,190,Valdosta State,9
Ladarius Tennison,DB,IND,,,,,
Mekhi Blackmon,DB,IND,3/18/1999,71,178,USC; Colorado,3
Nick Cross,DB,IND,9/10/2001,72,212,Maryland,4
Rodney Thomas,DB,IND,6/26/1998,73,196,Yale,4
Trey Washington,DB,IND,12/9/2002,70,205,Mississippi,0
Xavien Howard,DB,IND,7/4/1993,73,203,Baylor,9
Adetomiwa Adebawore,DL,IND,3/4/2001,74,282,Northwestern,3
Chris Wormley,DL,IND,8/25/1993,77,300,Michigan,8
DeForest Buckner,DL,IND,3/17/1994,79,295,Oregon,10
Desmond Little,DL,IND,,,,,
Devonta Davis,DL,IND,,,,,
Durell Nchami,DL,IND,2/11/2000,76,258,Maryland,1
Eric Johnson,DL,IND,7/16/1998,76,320,Missouri State,4
Grover Stewart,DL,IND,10/20/1993,76,315,Albany State (GA),9
JT Tuimoloau,DL,IND,5/10/2003,76,264,Ohio State,0
Kwity Paye,DL,IND,11/19/1998,75,265,Michigan,5
Laiatu Latu,DL,IND,12/31/2000,77,265,UCLA; Washington,2
Marcus Haynes,DL,IND,4/7/1998,76,240,Old Dominion,1
Neville Gallimore,DL,IND,1/17/1997,74,307,Oklahoma,6
Samson Ebukam,DL,IND,5/9/1995,75,245,Eastern Washington,9
Seth Coleman,DL,IND,12/7/2000,77,250,Illinois,0
Tim Smith,DL,IND,8/9/2002,76,306,Alabama,0
Tyquan Lewis,DL,IND,1/30/1995,75,267,Ohio State,8
Viliami Fehoko Jr.,DL,IND,12/16/1999,76,267,San Jose State,2
Spencer Shrader,K,IND,5/19/1999,74,201,Notre Dame; University of South Florida,2
Austin Ajiake,LB,IND,6/30/2000,73,223,UNLV,1
Jacob Phillips,LB,IND,4/1/1999,75,229,LSU,5
Jake Chaney,LB,IND,,,,,
Jaylon Carlies,LB,IND,9/13/2001,75,227,Missouri,2
Joseph Vaughn,LB,IND,,,,,
Segun Olubi,LB,IND,11/1/1999,73,233,San Diego State,3
Solomon DeShields,LB,IND,,,,,
Zaire Franklin,LB,IND,7/2/1996,72,235,Syracuse,8
Luke Rhodes,LS,IND,12/2/1992,74,238,William & Mary,9
Bernhard Raimann,OL,IND,9/23/1997,78,303,Central Michigan,4
Blake Freeland,OL,IND,5/3/2001,79,302,BYU,3
Braden Smith,OL,IND,3/25/1996,78,312,Auburn,8
Dalton Tucker,OL,IND,3/18/2000,78,307,Marshall,2
Danny Pinter,OL,IND,6/19/1996,76,301,Ball State,6
Jack Wilson,OL,IND,10/22/1999,83,310,Washington State; Idaho; Oregon State,1
Jalen Travis,OL,IND,4/19/2002,80,339,Iowa State; Princeton,0
Josh Sills,OL,IND,1/26/1998,78,325,Oklahoma State; West Virginia,3
Luke Tenuta,OL,IND,9/1/1999,80,315,Virginia Tech,3
Marshall Foerner,OL,IND,,,,,
Matt Goncalves,OL,IND,1/26/2001,78,317,Pittsburgh,2
Mose Vavao,OL,IND,11/5/2001,74,305,Fresno State,0
Quenton Nelson,OL,IND,3/19/1996,77,330,Notre Dame,8
Tanor Bortolini,OL,IND,6/17/2002,76,303,Wisconsin,2
Rigoberto Sanchez,P,IND,9/8/1994,72,195,Hawaii; Butte College,9
Anthony Richardson,QB,IND,5/22/2002,76,244,Florida,3
Daniel Jones,QB,IND,5/27/1997,77,230,Duke,7
Jason Bean,QB,IND,12/3/1999,74,196,Kansas; North Texas,0
Philip Rivers,QB,IND,12/8/1981,77,228,N.C. State,18
Riley Leonard,QB,IND,9/13/2002,76,213,Notre Dame; Duke,0
Ameer Abdullah,RB,IND,6/13/1993,69,203,Nebraska,11
DJ Giddens,RB,IND,8/26/2003,73,212,Kansas State,0
Jonathan Taylor,RB,IND,1/19/1999,70,226,Wisconsin,6
Nate Noel,RB,IND,,,,,
Nay'Quan Wright,RB,IND,,,,,
Salvon Ahmed,RB,IND,12/29/1998,71,197,Washington,5
Tyler Goodson,RB,IND,11/10/2000,69,197,Iowa,3
Ulysses Bentley IV,RB,IND,12/30/2000,70,200,Mississippi; SMU,0
Andrew Ogletree,TE,IND,7/28/1998,77,260,Youngstown State,4
Mo Alie-Cox,TE,IND,9/19/1993,77,267,Virginia Commonwealth Univ.,8
Sean McKeon,TE,IND,12/28/1997,77,255,Michigan,5
Tyler Warren,TE,IND,5/24/2002,78,256,Penn State,0
Will Mallory,TE,IND,6/22/1999,76,239,Miami,3
Ajou Ajou,WR,IND,,,,,
Alec Pierce,WR,IND,5/2/2000,75,211,Cincinnati,4
Anthony Gould,WR,IND,4/6/2001,68,174,Oregon State,2
Ashton Dulin,WR,IND,5/15/1997,74,215,Malone,7
Blayne Taylor,WR,IND,,,,,
Coleman Owen,WR,IND,3/23/2001,70,181,Ohio; Northern Arizona,0
D.J. Montgomery,WR,IND,11/17/1996,73,201,Austin Peay; Holmes County JC,4
Josh Downs,WR,IND,8/12/2001,69,171,North Carolina,3
Landon Parker,WR,IND,,,,,
Laquon Treadwell,WR,IND,6/14/1995,74,215,Mississippi,9
Michael Pittman,WR,IND,10/5/1997,76,223,USC,6
Tyler Kahmann,WR,IND,,,,,
Seth Henigan,QB,"IND, JAX",3/10/2003,75,215,Memphis,0
Eli Pancol,WR,"IND, JAX",7/7/2000,75,205,Duke,0
Tyler Scott,WR,"IND, LA, SEA",10/12/2001,70,182,Cincinnati,3
Alex Johnson,DB,"IND, LA, TEN",10/11/2000,72,185,UCLA,1
Germaine Pratt,LB,"IND, LV",5/21/1996,75,250,N.C. State,7
Mike Hilton,DB,"IND, MIA",3/9/1994,69,184,Mississippi,9
Bayron Matos,OL,"IND, MIA",12/8/2000,79,334,University of South Florida; New Mexico,1
Chad Muma,LB,"IND, NE",8/18/1999,75,239,Wyoming,4
Blake Grupe,K,"IND, NO",11/5/1998,67,156,Notre Dame; Arkansas State,3
Jimmy Morrissey,OL,"IND, NYG",6/9/1998,76,305,Pittsburgh,3
Maximilian Mang,TE,"IND, NYG",3/13/2000,78,263,Syracuse,0
Sauce Gardner,DB,"IND, NYJ",8/31/2001,75,190,Cincinnati,4
Adonai Mitchell,WR,"IND, NYJ",10/8/2002,74,205,Texas; Georgia,2
Khalil Herbert,RB,"IND, NYJ, SEA",4/21/1998,69,212,Virginia Tech,5
Keydrain Calligan,DB,"IND, SEA, TEN",12/4/2001,73,200,Southeastern Louisiana; Jackson State University,0
Anthony Walker,LB,"IND, TB",8/8/1995,73,235,Northwestern,9
Joe Bachie,LB,"IND, TEN",2/26/1998,74,235,Michigan State,6
Andrew Wingard,DB,JAX,12/5/1996,72,200,Wyoming,7
Antonio Johnson,DB,JAX,10/29/2001,74,198,Texas A&M,3
Aydan White,DB,JAX,,,,,
Caleb Ransaw,DB,JAX,12/22/2002,72,196,Tulane; Troy,0
Cam'Ron Silmon-Craig,DB,JAX,10/30/2002,70,185,Colorado; Jackson State University,0
Christian Braswell,DB,JAX,9/27/1999,71,185,Rutgers; Temple,2
Deantre Prince,DB,JAX,10/12/2000,72,185,Mississippi,0
Doneiko Slaughter,DB,JAX,,,,,
Eric Murray,DB,JAX,1/7/1994,71,199,Minnesota,10
Jabbar Muhammad,DB,JAX,12/28/2001,70,185,Oregon; Washington; Oklahoma State,0
Jarrian Jones,DB,JAX,5/8/2001,71,190,Florida State; Mississippi State,2
Jourdan Lewis,DB,JAX,8/31/1995,70,190,Michigan,9
Keni-H Lovely,DB,JAX,5/12/2000,70,182,Western Michigan,1
Montaric Brown,DB,JAX,8/24/1999,72,190,Arkansas,4
Rayuan Lane III,DB,JAX,7/21/2003,71,197,Navy,0
Arik Armstead,DL,JAX,11/15/1993,79,290,Oregon,11
Austin Johnson,DL,JAX,5/8/1994,76,314,Penn State,9
BJ Green II,DL,JAX,7/3/2003,73,270,Colorado; Arizona State,0
DaVon Hamilton,DL,JAX,2/1/1997,76,335,Ohio State,6
Danny Striggow,DL,JAX,7/24/2002,77,255,Minnesota,0
Dawuane Smoot,DL,JAX,3/2/1995,75,275,Illinois,9
Emmanuel Ogbah,DL,JAX,11/6/1993,76,275,Oklahoma State,10
James Carpenter,DL,JAX,,,,,
Josh Hines-Allen,DL,JAX,7/13/1997,77,255,Kentucky,7
Keivie Rose,DL,JAX,12/14/2000,75,314,Arkansas; Louisiana Tech,0
Maason Smith,DL,JAX,10/13/2002,77,306,LSU,2
Matt Dickerson,DL,JAX,11/9/1995,77,300,UCLA,5
Travon Walker,DL,JAX,12/18/2000,77,272,Georgia,4
Cam Little,K,JAX,8/17/2003,73,172,Arkansas,2
Branson Combs,LB,JAX,7/14/2000,75,228,Wake Forest,0
Dennis Gardeck,LB,JAX,8/9/1994,72,232,Sioux Falls; West Virginia State,8
Devin Lloyd,LB,JAX,9/30/1998,75,235,Utah,4
Foye Oluokun,LB,JAX,8/2/1995,74,229,Yale,8
Jack Kiser,LB,JAX,9/10/2000,74,231,Notre Dame,0
Jalen McLeod,LB,JAX,6/5/2002,73,236,Auburn; Appalachian State,0
Ventrell Miller,LB,JAX,1/15/1999,72,232,Florida,3
Yasir Abdullah,LB,JAX,4/12/2000,73,240,Louisville,3
Ross Matiscik,LS,JAX,9/13/1996,72,240,Baylor,6
Anton Harrison,OL,JAX,2/2/2002,77,315,Oklahoma,3
Chuma Edoga,OL,JAX,5/25/1997,76,315,USC,7
Cole Van Lanen,OL,JAX,4/23/1998,76,312,Wisconsin,5
Cooper Hodges,OL,JAX,7/13/2000,76,305,Appalachian State,3
